id,size,min_moves,total_states,articulation_points,avg_branching,score,manual_score
9d4bd76452caac9bf781b83087e6cb4d6c24ea75928a3727eb6a3fa552304047,30,38,1735671,6,6.685264661332707,2.66,
2ad3c4b07737da97bb923c2d4e2cd5fcdfad53139d0a665bb7165506f3f2a977,35,21,227857,4,6.330830301461004,2.05,
075eaddfe0d35821da5ce74baa5b86dd171ae1229ac9bd0733fe58a9c222426a,25,214,1165293,124,3.8065190471409336,2.76,
c24e91435013b64e2a2935c7a0f15d2202271024a90c1c74ee2447287c15a12a,42,241,137102,86,4.442721477440154,3.72,
5f501282ba1dcf2dcca68cffde01c136e871477a0295c9207a12be322f1bafb9,25,208,136538,73,4.316292900145014,3.89,
ec4a79a3ae1130ef5728a7fbb8d60b57d2d4c50154507ab381bd19206f1b5710,25,63,21845,27,4.172854200045777,4.16,
787746c25b7cc52bb8c88265ae21209710194df5460406ac7c73f9172cf1eda8,20,11,323,6,3.4055727554179565,0.88,
0beca7fad0fe09713a4d403f335a2b4f65ecef7d3b607cb339b4b913a528b64c,20,219,26528,138,3.057071773220748,2.83,
87c78d860e435d83bc458d193eac70cbc3f7a09a7d5929c694d46105137041ab,36,177,1103130,13,5.448398647484884,3.66,
65cd6ad8c2dc8ccd13651320c2cc0e51fa5282899fb331e9259d7188fa34524b,20,104,46345,41,3.6444923940015106,4.35,
0a8d9f38b184d8bb7803ea12496f5c90ced0634b1ba28f93a188ca79b393ea5f,30,216,30991,120,3.2886967184021167,2.69,
a5eba89fe2dca866c680ba9be96f19679310b53c024803eb009f8634f6b9af8f,30,15,1943743,5,8.292807228116063,2.02,
ad70fa40dd4353d5ce59acfea9958af6a194bfcb5a1291560a334b3a2f022c44,30,7,659,1,4.685887708649469,0.27,
819fca52f219fe523fb1eb50af152459b48b2f85eeb6cecf6ea6b62903a5d1c8,42,330,78401,92,4.478641854057984,3.54,
914879fdf8415acf68d1b3dabdca7491a40dd0a5db0e511d9e0acc2e90f4b0b8,24,251,107111,153,2.988245838429293,2.8,
